S.No.,Name,Home Country,Team,Matches,No. of balls,No. of Overs,Wickets taken,Runs Conceded,Economy rate,Dot Balls,Maiden overs,Bowling Strike Rate,Bowling Average,CBR,log10(CBR),RAA,Wins,EF Score,Salary,Value
51,Jagadeesha Suchith,India,-,0,0,0,0,0,0,0,0,0,0,NaN,NaN,,,,,
52,Washington Sundar,India,RCB,15,300,50,8,298,5.96,115,1,37.5,37.25,13.55640922,1.13214467,-128,-0.433,0.092,"$500,000","-$44,156"
53,Murugan Ashwin,India,PBKS,9,189,31.5,10,235,7.46,70,0,18.9,23.5,13.07124034,1.1163168,55,0.185,0.071,"$28,600","$854,652"
54,Isuru Udana,Srilanka,RCB,10,174,29,8,282,9.72,49,0,21.75,35.25,16.92749451,1.228592682,-123,-0.416,0.052,"$71,400","-$19,431"
55,Mohit Sharma,India,DC,1,24,4,1,45,11.25,9,0,24,45,19.63636364,1.293061066,-16,-0.053,0.007,"$71,400","$508,509"
56,Varun Aaron,India,RCB,3,48,8,0,94,11.75,21,0,0,0,-,-,-114,-0.386,0.006,"$342,900","$24,200"
57,Kane Richardson,Australia,-,0,0,0,0,0,0,0,0,0,0,NaN,NaN,,,,,
58,Tim Southee,New Zealand,-,0,0,0,0,0,0,0,0,0,0,NaN,NaN,,,,,
59,Dhawal Kulkarni,India,MI,1,18,3,0,22,7.33,6,0,0,0,-,-,-17,-0.057,0.004,"$110,000","$502,692"
60,Prasidh Krishna,India,KKR,6,105,17.5,4,164,9.37,35,0,26.25,41,17.72954628,1.248697622,-45,-0.15,0.021,"$15,620","$367,434"
61,Bhuvneshwar Kumar,India,SRH,4,85,14.16666667,3,99,6.98,40,0,28.33,33,14.36315382,1.157249812,-39,-0.133,0.021,"$1,328,130","$392,159"
62,T. Natarajan,India,SRH,16,,62.83333333,16,504,8.02,136,1,23.56,31.5,15.08453883,1.178532037,-35,-0.119,0.121,"$62,500","$412,520"
63,Mustafizur Rahman,Bangladesh,-,0,0,0,0,0,0,0,0,0,0,NaN,NaN,,,,,
64,Adam Zampa,Australia,RCB,3,66,11,2,92,8.36,20,0,33,46,17.4764694,1.242453701,-34,-0.116,0.015,"$45,000","$416,883"
65,Lockie Ferguson,New Zealand,KKR,5,119,19.83333333,6,148,7.46,48,0,19.83,24.66,13.33165051,1.12488392,70,0.237,0.073,"$228,600","$930,280"
66,Karn Sharma,India,CSK,5,114,19,5,165,8.68,27,0,22.8,33,15.84199802,1.199809955,-19,-0.065,0.025,"$478,000","$491,057"
67,Ravindra Jadeja,India,CSK,13,218,36.33333333,6,318,8.75,56,0,36.33,53,18.67075433,1.271161865,-55,-0.185,0.089,"$1,093,750","$316,531"
68,Siddharth Kaul,India,SRH,1,24,4,2,64,16,6,0,12,32,16.94117647,1.228943566,-5,-0.018,0.014,"$593,750","$559,413"
69,Shivam Mavi,India,KKR,8,156,26,9,212,8.15,63,0,17.33,23.55,13.46102546,1.129078146,3,0.009,0.062,"$468,750","$598,681"
70,Adam Milne,New Zealand,-,0,0,0,0,0,0,0,0,0,0,NaN,NaN,,,,,
71,Rahul Tewatia,India,RR,14,276,46,10,326,7.08,95,0,27.6,32.6,14.41270611,1.158745531,52,0.177,0.143,"$430,000","$843,017"
72,Mohammed Siraj,India,RCB,9,163,27.16666667,11,236,8.68,77,0,14.81,21.45,13.08048098,1.116623714,78,0.263,0.074,"$406,250","$968,094"
73,Marco Jansen,South Africa,-,0,0,0,0,0,0,0,0,0,0,NaN,NaN,,,,,
74,KM Asif,India,-,0,0,0,0,0,0,0,0,0,0,NaN,NaN,,,,,
75,Andrew Tye,Australia,RR,1,24,4,1,50,12.5,5,0,24,50,21.17647059,1.325853579,-41,-0.139,0.006,"$142,900","$383,433"
76,Sandeep Warrier,India,KKR,1,18,3,0,34,11.33,8,0,0,0,-,-,-31,-0.105,0.002,"$16,000","$432,882"
77,Lalit Yadav,India,-,0,0,0,0,0,0,0,0,0,0,NaN,NaN,,,,,
78,Andre Russell,West Indies,KKR,7,108,18,6,175,9.72,39,0,18,29.16,15.5658363,1.192172459,-136,-0.46,0.063,"$1,328,130","-$83,424"
79,Umran Malik,India,-,0,0,0,0,0,0,0,0,0,0,NaN,NaN,,,,,
80,Axar Patel,India,DD,15,306,51,9,327,6.41,100,0,34,36.33,14.08824631,1.148856936,-180,-0.607,0.081,"$714,300","-$297,218"
